size,threads,read_time_ms,mult_time_ms,total_time_ms 
200,1,92.567,92.567,92.567 
200,2,88.472,88.472,88.472 
200,4,72.744,72.744,72.744 
200,8,119.55,119.55,119.55 
400,1,361.817,361.817,361.817 
400,2,352.755,352.755,352.755 
400,4,329.048,329.048,329.048 
400,8,334.475,334.475,334.475 
800,1,1957.31,1957.31,1957.31 
800,2,1581.17,1581.17,1581.17 
800,4,1414.84,1414.84,1414.84 
800,8,1433.34,1433.34,1433.34 
1200,1,5988.37,5988.37,5988.37 
1200,2,4327.08,4327.08,4327.08 
1200,4,3922.92,3922.92,3922.92 
1200,8,3657.38,3657.38,3657.38 
1600,1,14333.3,14333.3,14333.3 
1600,2,9316.42,9316.42,9316.42 
1600,4,10654.8,10654.8,10654.8 
1600,8,9978.55,9978.55,9978.55 
2000,1,61144.3,61144.3,61144.3 
2000,2,28797.3,28797.3,28797.3 
2000,4,12986.5,12986.5,12986.5 
2000,8,12949,12949,12949 
